"EA-Type";"EA-Package";"EA-Name";"EA-Parent";"EA-Domain";"EA-Range";"label-nl";"ap-definition-nl";"ap-usageNote-nl";"ap-codelist";"external term";"namespace";"localname";"type";"domain";"range";"parent";"min card";"max card"
"connector";;"IsToegekendAan";;"Adres";"AdresseerbaarObject";"is toegekend aan";"TODO";;;"true";"http://data.vlaanderen.be/ns/adres#";"IsToegekendAan";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://data.vlaanderen.be/ns/adres#Adres";"http://data.vlaanderen.be/ns/adres#AdresseerbaarObject";;;
"connector";;"heeftPrimaireVestiging";;"Organisatie";"Vestiging";"Heeft Primaire Vestiging";"Verwijst naar de belangrijkste Vestiging van de organisatie, niet noodzakelijk het formele hoofdkwartier maar wel de Vestiging waarop de Organisatie standaard kan worden gecontacteerd.";;;"true";"https://www.w3.org/ns/org#";"hasPrimarySite";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Organization";"https://www.w3.org/ns/org#Site";;0;"*"
"connector";;"isFunctieBij";;"Functie";"Organisatie";"Is Functie Bij";"Organisatie waar de Functie bestaat.";;;"true";"https://www.w3.org/ns/org#";"postIn";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Post";"https://www.w3.org/ns/org#Organization";;0;"*"
"connector";;"heeftGeregistreerdeVestiging";;"Organisatie";"Vestiging";"Heeft Geregistreerde Vestiging";"Verwijst naar de wettelijk geregistreerde Vestiging van de Organisatie. Is voor een Formele Organisatie doorgaans verplicht.";"In België verplicht voor een Geregestreerde Organisatie en geregistreerd in de KBO.";;"true";"https://www.w3.org/ns/org#";"hasRegisteredSite";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Organization";"https://www.w3.org/ns/org#Site";;0;"*"
"connector";;"rapporteertAaan";;"Functie";"Functie";"Rapporteert Aan";"Verwijst naar de Functie waaraan de Functie verantwoording aflegt.";"Gecombineerd met Agent-rapporteertAan-Agent kan het organogram vd Organisatie gedocumenteerd worden. ";;"true";"https://www.w3.org/ns/org#";"reportsTo";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Post";"https://www.w3.org/ns/org#Post";;0;"*"
"connector";;"isLidVan";;"Lidmaatschap";"Organisatie";"TODO";"TODO";;;"false";"http://data.vlaanderen.be/ns/";"organisatieisLidVan";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Membership";"https://www.w3.org/ns/org#Organization";;0;"*"
"connector";;"rapporteertAan";;"Agent";"Agent";"Rapporteert Aan";"Verwijst naar de Agent waaraan de Agent verantwoording aflegt.";"Gecombineerd met Functie-rapporteertAan-Functie kan het organogram vd Organisatie gedocumenteerd worden. ";;"true";"https://www.w3.org/ns/org#";"reportsTo";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://purl.org/dc/terms/Agent";"http://purl.org/dc/terms/Agent";;0;"*"
"connector";;"opeenvolging";;"PubliekeOrganisatie";"PubliekeOrganisatie";"Opeenvolging";"Verwijst naar een andere Publieke Organisatie die de Publieke Organisatie is opgevolgd.";;;"true";"http://www.w3.org/1999/xhtml/vocab#";"nex";"http://www.w3.org/2002/07/owl#ObjectProperty";"http://data.europa.eu/m8g/PublicOrganisation";"http://data.europa.eu/m8g/PublicOrganisation";;0;"*"
"attribute";"OSLO-Organisatie";"rol";;"Functie";"Rol";"Rol";"Geeft de aard weer vd Functie.";;;"true";"https://www.w3.org/ns/org#";"role";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://www.w3.org/ns/org#Post";"https://www.w3.org/TR/vocab-org/#org:Role";;1;1
"attribute";"OSLO-Generiek";"aanschrijfvorm";;"ContactInfo";;"TODO";"TODO";;;"true";"http://fixme.com#";"aanschrijfvorm";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"https://schema.org/ContactPoint";;;1;1
"attribute";"OSLO-Generiek";"adres";;"ContactInfo";"AdresVoorstelling";"TODO";"TODO";;;"true";"http://fixme.com#";"adres";"http://www.w3.org/2002/07/owl#ObjectProperty";"https://schema.org/ContactPoint";"http://www.w3.org/ns/locn#Address";;1;1
"attribute";"OSLO-Generiek";"beschikbaarheid";;"ContactInfo";;"TODO";"TODO";;;"true";"http://fixme.com#";"beschikbaarheid";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"https://schema.org/ContactPoint";;;1;1
"attribute";"OSLO-Generiek";"email";;"ContactInfo";;"TODO";"TODO";;;"true";"https://schema.org/";"email";"http://www.w3.org/1999/02/22-rdf-syntax-ns#Property";"https://schema.org/ContactPoint";;;1;1
